lattes id;coordenador;ano inicio;ano fim;titulo
2226174429595900.8;Lynn Rosalina Gama Alves;2021;Atual;Plataformas Digitais de Ensino: um estudo de caso da interação dos docentes da UFBA, UNEB, IFPB e IF Baiano
2277559773788201.0;Giliane Bernardi;2018;Atual;SAGaPE - Smart Adaptive Gamification Platform for Education
1813801866195427.2;Giorgio Eugenio Oscare Giacaglia;2016;2019;PROJETO DE VEICULOS
2479982770095588.0;Daniel de Carvalho Moreira;2017;Atual;Tecnologias de representação
3355272528185691.0;Joaquim Jorge;2012;2014;CEDAR
4783303936149244.0;NASCIMENTO, MARIA C.V.;2016;2018;Hibridização de métodos heurísticos e exatos para abordar problemas de otimização combinatória
483707899231728.0;Milene Selbach Silveira;2021;2023;Análise qualitativa de dados advindos de transmissões de vídeos identificados por meio de picos de postagens no Twitter
277705848688464.0;Claudio Kirner;1991;1993;Projeto de um Sistema de Computação Paralela Híbrida
883301163870314.0;MARIA HELENA WYLLIE LACERDA RODRIGUES;1998;2004;Integração das Técnicas de Representação Gráfica: um Trabalho Interdisciplinar com Apoio do Computador
4616848792501359.0;Leandro Augusto Frata Fernandes;2020;2021;CNN-Based Telemedicine System for Diabetic Foot Ulcer Evolution Analysis
4123700143485891.0;Rodrigo Cury Paraizo;2019;2020;Representações da história urbana do Rio de Janeiro em mídias locativas: a Exposição do Centenário de 1922
878410768350416.0;Liane Margarida Rockenbach Tarouco;2008;2010;Objetos de Aprendizagem Baseados em Agentes
5219735119295290.0;Walter dos Santos Oliveira Junior;2022;Atual;EduTech Amazon: Uso de inteligência artificial para reconhecimento de padrão geométrico em streaming em uma aplicação no ensino da educação básica através do App Geometricando VR e AR
1733480322650561.0;Carla Rosane da Silva Tavares;2010;2011;A representação da Mulher em o tempo e o vento: um panorama histórico-social
6402361744624287.0;Alvaro Luiz Gayoso de Azeredo Coutinho;2021;Atual;Pesquisa e Desenvolvimento em Aprendizado de Máquina Científico em Computadores de Alto Desempenho para Problemas de Engenharia
6402361744624287.0;Patrick Valduriez;2020;Atual;INRIA Associate Team: HPDaSc- High Performance Data Science
9873333807426188.0;Andrei Piccinini Legg;2017;Atual;Apoio ao Lançamento, Pesquisa e Operação do NANOSATC-BR2
9873333807426188.0;Renato Machado;2014;Atual;MULTIPLE INPUT MULTIPLE OUTPUT (MIMO) SYNTHETIC APERTURE RADAR (SAR) ALGORITHMS AND SIGNAL PROCESSING TO DETECT CHANGES AND MOVEMENTS - MEC/MCTI/CAPES/CNPQ/FAPS - BOLSA PESQUISADOR VISITANTE ESPECIAL - PVE 2014
5587405998574264.0;Anderson Maciel;2011;2014;Simulador de comportamento para atividades operacionais voltado à área de segurança
5587405998574264.0;Diana Maria Gallicchio Domingues;2005;2006;Ciberarte: ambientes interativos e imersivos
695899382782312.0;Sergio Scheer;2004;Atual;Técnicas de Visualização Interativa em Problemas de Engenharia
839323666578855.0;Mauricio Capobianco Lopes;2015;2016;Currículo, formação e aprendizagem colaborativa: tecnologias digitais potencializando práticas docentes
3660344606587105.0;Francisco Henrique de Oliveira;2010;2013;Sistema inteligente de suscetibilidade a enchentes,  Estudo de caso: Bacia Hidrográfica do Rio Cachoeira - Joinville/SC
1233049484488761.0;Joao Fernando Marar;2014;2017;Aspectos Teóricos e Práticos da Ciência Cognitiva para o auxilio no Projeto de Produto
840226903480590.0;Danilo Medeiros Eler;2018;Atual;Representação visual multinível para auxiliar a exploração de conjuntos de dados
3684061144624449.5;Márcio Minto Fabrício;2014;2016;Uso de Realidade Aumentada para visualização de informações sobre execução de edificações extraídas a partir de modelos BIM
9183721973235194.0;Marcio Sarroglia Pinho;2012;2013;Neuro-Reabilitação Com Jogos Eletrônicos Controlados Por Movimento Corporal em Idosos
5433104851214346.0;Walteno Martins Parreira Júnior;2017;2017;Levantamento de demandas para aquisição de equipamentos para pesquisa e inovação (Edital 16/2017 - Cartão BB)
1562357566810393.0;Luiz Marcos Garcia Goncalves;2020;Atual;Desvelando a Robótica Educacional: do Desenvolvimento das Tecnologias de Software e Hardware de Baixíssimo Custo às Metodologias e Currículos para a Formação Continuada de Professores e o Aprendizado de Alunos da Educação Básica
1562357566810393.0;Alejandro César Frery Orgambide;2014;2017;Análise de Sinais e Imagens com Distâncias Estocásticas e Diferenças de Entropias
4423219093583221.0;Dionne Cavalcante Monteiro;2010;2013;Avaliação, Modernização e Integração da rede NAVEGAPARÁ com tecnologias de comunicação heterogêneas: Uma abordagem para a inclusão digital e social
400880030173624.0;Alexandre Gonçalves Silva;2022;Atual;Análise automática de vídeo da artéria braquial para exame avaliação de vasodilatação
1723673475960127.0;Marco Antonio Araujo Leite;2022;Atual;EFEITOS DO TREINAMENTO DA MUSCULATURA INSPIRATÓRIA NAS RESPOSTAS HEMODINÂMICAS, CEREBROVASCULARES E COGNITIVAS DURANTE A MANUTENÇÃO DO EQUILÍBRIO POSTURAL NA DOENÇA DE PARKINSON
1723673475960127.0;PIMENTEL, MÁRCIA M.G.;2008;Atual;Fatores genéticos de risco para a Doença de Parkinson: Investigação dos genes SNCA, PARKIN, UCH-L1, PINK1, DJ-1, LRRK2, GBA, ATP13A2, HTRA2 e GIGYF2 em pacientes brasileiros
1538338871689655.0;João Luiz Dihl Comba;2020;Atual;CIDIA-19 - CIENCIA DE DADOS E INTELIGENCIA ARTIFICIAL PARA COMBATER A COVID-19
1538338871689655.0;GUIDO LENZ;2020;Atual;DESENVOLVIMENTO E USO DE FERRAMENTAS BIOINFORMATICAS PARA ESTUDAR BIOLOGIA DO CANCER
4754106250302979.0;Daniel Lima Gomes Júnior;2022;Atual;Uso de impressão 3D para suporte aos alunos cegos e baixa visão do Campus São Luís Monte Castelo
5813743488218949.0;Maria Amelia Eliseo;2019;Atual;HCI-Collab - Red Colaborativa para soportar los procesos de enseñanza-aprendizaje en el área de Interacción Humano-Computador a nivel Iberoamericano
3847692220708299.0;Sílvio de Barros Melo;2012;2015;Ferramenta Gráfica para Síntese de uma Sub-Malha para Estudos de Transitórios Eletromagnéticos
1988486115879940.0;Juliano Tonezer da Silva;2010;2014;Impressão Tridimensional de Artefatos Cerâmicos
8817591964244237.0;João Paulo Lima;2015;2015;Realidade Aumentada em dispositivos móveis como ferramenta auxiliar em aulas de instituições de ensino no Estado de Pernambuco
5870097378411046.0;ANDRADE, ADRIANO DE OLIVEIRA;2020;Atual;CAPES-COFECUB (Nº Processo: 88881.370894/2019-01) DESENVOLVIMENTO DE INTERFACE HOMEM-MÁQUINA PARA A AVALIAÇÃO DE SINAIS MOTORES DA DOENÇA DE PARKINSON
1231884642541177.0;Vicente Ferreira de Lucena Junior;2014;Atual;Sistema multimodal para treinamento a distância em ambiente virtual ou de realidade aumentada destinado aos usuários de cadeiras de rodas motorizadas.
309108869922063.0;Wagner Bandeira da Silva;2021;Atual;Acessibilidade na Interface de Materiais Didáticos para EaD
309108869922063.0;RAVI FIGUEIREDO PASSOS;2015;Atual;Demarcações teórico-metodológicas para a prática do design da informação
4516605108233899.0;Fernanda Baião;2008;2009;SOA: identificação de serviços, modelagem, implantação e governança
8205501453013894.0;Marcos Wagner de Souza Ribeiro;2015;2016;Reconhecimento de Expressões Faciais em Processos de Comunicação Usando Visão Computacional
9109602812218258.0;Nivaldi Calonego Junior;2011;2012;Qualificação dos professores da rede pública em ensino de ciências e matemática baseado em investigação.
477251811278890.0;Sergio Evangelista Silva;2018;Atual;ESPECIFICAÇÃO DE REQUISITOS DE CENTROS DE CIRÚRGICOS, COM VISTAS A MELHORIA DA GESTÃO DA INFORMAÇÃO
1643661345412956.0;Lais Costa Brito;2021;Atual;Desenvolvimento de software(s) para facilitar a leitura dos dados de melhoramento genético animal por produtores rurais brasileiros
4054756781423727.0;Paulo Fernando Ferreira Rosa;2020;Atual;Desenvolvimento de um Sistema de Aeronaves Remotamente Pilotadas com Controle baseado em Alocação Dinâmica para Cobertura de Áreas com Prioridades de Interesse
1520994716359117.0;Ivana Marcia Oliveira Maia;2021;2022;Entendendo o Prontuário Afetivo
7830251697546483.0;Fabrício Herpich;2020;2021;O uso de Laboratório Remoto e Realidade Aumentada para apoiar a aprendizagem experiencial em Física
7830251697546483.0;TAROUCO, LIANE MARGARIDA ROCKENBACH;2019;Atual;Realidade Aumentada e Neurociência na Educação
7830251697546483.0;Liane Margarida Rokembach Tarouco;2015;Atual;AVATAR - Aprendizagem Virtual de Aprendizagem e Trabalho Acadêmico Remoto
1229329519982110.0;Adriano de Oliveira Andrade;2008;2013;CAPES (Pró-Engenharias 030/2008) Análise quantitativa da dor por meio do estudo de biopotenciais
3616991101436025.5;Ildeberto Aparecido Rodello;2014;2016;A Study of User Acceptance of Virtual and Augmented Technology by Modern Current and Future Industry
8862860986615760.0;Keize Katiane dos Santos Amparo;2015;Atual;IMPLANTAÇÃO DE INFRAESTRUTURA DE PESQUISA EM SIMULAÇÃO E MODELAGEM COMPUTACIONAL NO ESTADO DA BAHIA UTILIZANDO PROCESSAMENTO DE ALTO DESEMPENHO
8862860986615760.0;GUARIEIRO, LÍLIAN LEFOL NANI;2011;2014;ESTUDO DO PERFIL DE DISTRIBUIÇÃO DE TAMANHO E NÚMERO DE PARTICULAS EMITIDAS NA QUEIMA DE DIFERENTES TIPOS DE COMBUSTÍVEIS E SUAS MISTURAS (DIESEL, BIODIESEL, ETANOL, GASOLINA)
3337432920672784.0;Robson da Cunha Santos;2018;2019;SISTEMA EMBARCADO APLICADO A UM RASTREADOR SOLAR PARA GERAÇÃO DE ENERGIA ELÉTRICA
3639421374597069.0;MEDEIROS FILGUEIRA BURLAMAQUI, AQUILES;2019;Atual;taTEAr : Tecnologias Assistivas para apoio na Formação, Aprendizagem e Socialização de Crianças com Transtorno do Espectro Autista
3456835344222735.0;Maria Carmem Jacob de Souza Romano;2020;Atual;Roteiristas e inovação nas telenovelas
4841327829896452.0;BARBALHO, SANDERSON CÉSAR MACÊDO;2022;Atual;Laboratório de Inovação para a co-criação de tecnologias nas áreas de Bioinsumos, Equipamentos e Sistemas de Informação para produtos Orgânicos e Agroecológicos do Distrito Federal (DF), e da RIDE - EDITAL Nº 03/2021 (Processo nº 00193-00001064/2021-12)
4841327829896452.0;Adriano Oliveira Andrade;2017;2020;FAPEMIG (Processo TEC - APQ-00942-17) Caracterização de sinais motores da doença de Parkinson por meio de sensores capacitivos sem contato
7897091763745373.0;Luciane Aparecida Pascucci Sande de Souza;2003;Atual;Projeto II: Controle motor normal e anormal, análise biomecanica e funcional do movimento humano
8908026219336622.0;Fernando Antonio Mota Trinta;2021;Atual;Gestão de segurança pública com foco em consciência situacional
7286663892055106.0;Maria Aparecida Alves de Cerqueira Luz;2003;2005;EFEITO DE TRATAMENTOS DE LIMPEZA NA RESISTÊNCIA ADESIVA DE SISTEMAS AUTOCONDICIONANTES AO ESMALTE DENTAL ÍNTEGRO E CONTAMINADO COM SALIVA HUMANA
1648316318310818.0;Jônatas Manzolli;2008;2011;Estudo de Sistemas Adaptativos como Modelos para Composição Interativa e Performance Mediada
1648316318310818.0;Adolfo Maia Juniro;1999;2003;Elementaridades
521741779583070.0;Cecilia Dias Flores;2019;Atual;JOGO SÉRIO SOBRE EVENTOS ADVERSOS EM HEMODIÁLISE: FERRAMENTA DE ENSINO AOS PROFISSIONAIS DE ENFERMAGEM
521741779583070.0;Rosa Maria Vicari;2001;2004;AIMED ? Apoio à Intervenção Médica Avançada
4794107935753176.0;Alvaro Joao Magalhaes de Queiroz;2012;2014;Augmented dance in Rio de Janeiro: an immersive experience of contemporary dance and augmented reality
251364589832974.0;Andrea Gomes Campos Bianchi;2014;2016;SEBRAE PII-UFOP: Desenvolvimento de uma metodologia de visão computacional aplicável a imagens de células cervicais do exame de Papanicolaou
7363699118402872.0;Alice Therezinha Cybis Pereira;2013;2016;O PROCESSO DE ENSINO E APRENDIZAGEM DE PROJETO MEDIADO PELAS TECNOLOGIAS DA INFORMAÇAO E COMUNICAÇAO EM ARQUITETURA E DESIGN
;Bianchi Serique Meiguins;2013;2014;Utilizando tecnologia de Realidade Aumentada para divulgação de conteúdos digitais em dispositivos móveis
2340148229327443.0;Angélica de Souza Galdino Acioly;2020;2021;O PAPEL DAS EMBALAGENS DE EQUIPAMENTOS DE PROTEÇÃO INDIVIDUAL QUANTO À ORIENTAÇÃO DE USO ADEQUADA NO PROCESSO DE PREVENÇÃO, MANEJO E CONTROLE DA COVID 19
2340148229327443.0;POLIANA VILAR TORRES FERREIRA;2019;2019;A ATIVIDADE DO MÉDICO ULTRASSONOGRAFISTA - ANÁLISE COMPARATIVA ENTRE PROCEDIMENTOS DE USO DE TRANSDUTORES EM EXAMES ABDOMINAIS E SUAS REPERCUSSÕES
3767009717402045.0;Alexandre Cardoso;2018;Atual;Princípios de Engenharia aplicados à Instrumentação e Saúde Humana
1729081803965609.0;Botega, L.;2012;Atual;Desenvolvimento de soluções para a melhoria da consciência situacional em ambientes de gerenciamento de emergências
1853704699093816.8;Marcio Augusto Silva Bueno;2013;2015;Realidade Aumentada sem Marcadores baseada em Modelos
9801031941805250.0;Alcimar Barbosa Soares;2019;2020;Amputee-Driven Design and Development of Upper Limb Prosthesis using Virtual-Physical Methodologies
4006878042502781.0;Andre Schneider de Oliveira;2019;Atual;Collective Intelligence and Consensual Task-Allocation: a novel paradigm to Multi-Robot Systems
3686451569520273.0;VANESSA MATOS DOS SANTOS;2018;Atual;Cenários investigativos em jogos digitais educacionais para distintos estilos de aprendizagem
8287861610873629.0;DA ROCHA, SIMARA VIEIRA;2013;2015;Diferenciação do Padrão de Malignidade e Benignidade de Massas em Mamografias Digitalizadas Usando Geoestatística e Índices de Diversidade
8824681563224301.0;Josiane Medina Papst;2016;2018;Conhecimento de performance do rolamento peixe para crianças com dificuldades de aprendizagem
8824681563224301.0;Rafaela Zortéa Fernandes Costa;2013;2015;Avaliação diagnóstica de crianças com dificuldades motoras e características de Transtorno do Desenvolvimento da Coordenação
5993832413749292.0;Gabriela Castellano;2016;2019;XTReMe - Experiências de Tecnologias para Reabilitação em Medicina
4698405991507809.0;Maria Cristina Palmer Lima Zamberlan;1982;Atual;Grupo de Pesquisa em Antropometria 1D e 3D e Biomecânica
6745657848843702.0;PIZZATO, MICHELLE;2019;Atual;Análise da atenção de estudantes em atividades didáticas de ciências através de mapeamento cerebral com eletroencefalogramas
6745657848843702.0;Andreia Solange Bos;2014;Atual;Mundos Virtuais na Educação: Plataformas de desenvolvimento 3D
6747162018040662.0;Arthur L. Dexter;1993;1997;Projeto de Sistemas de Detecção e Diagnose de Falhas para Sistemas de Aquecimento, Ventilação e Ar-Condicionados
8339468615156066.0;ERCY MARA CIPULO RAMOS;2013;Atual;EFEITO DO TABAGISMO PASSIVO NO TRANPORTE MUCOCILIAR E NO SISTEMA NERVOSO AUTÔNOMO
4073806576367509.0;Thaiane Moreira de Oliveira;2021;Atual;Conecta: Plataforma multimídia de Inteligência Artificial para letramento informacional e científico no enfrentamento à desinformação relacionada às arboviroses e SARS-CoV2
4292452867996496.0;Rodrigo da Silva Guerra;2016;2017;Aplicação de Robótica Cognitiva para Robô Humanoide
9702206935610428.0;Akynara Aglaé Rodrigues Santos da Silva Burlamaqui;2021;Atual;APRENDIZAGEM CRIATIVA COM OBJETOS DIGITAIS DE APRENDIZAGEM
4024343393005831.0;Paula Maria Wanderley Maciel do Rego Silva;2017;2018;Plano Recife Cidadão. Estudos e pesquisas urbanísticas para concepção de diretrizes urbanísticas, plano urbanístico e projeto urbano de parte do Centro Expandido do Recife
8800859024101678.0;Silvia Silva da Costa Botelho;2008;2010;TELE-P ROBOTAR - Construindo Multi-Ambientes de Realidade Aumentada com Robôs, Humanos e AVATARES
163735914142185.0;Alice Theresinha Cybis Pereira;2018;Atual;O TEAR_AD na apropriação e difusão de Teorias, Técnicas e Tecnologias em estratégias didáticas
9702014055794664.0;Marcio Fontana Catapan;2019;Atual;EXPERIMENTAÇÃO TRIDIMENSIONAL
2878446220552764.0;Clarissa Ribeiro Pereira de Almeida;2017;Atual;CrossLab
8633160104487034.0;Paulo Nazareno Maia Sampaio;2014;Atual;Context-aware Framework for Adaptive Routing (CAARF)
1868960602254610.0;Rummenigge Rudson Dantas;2019;Atual;Modelos de manufatura para indústria 4.0 baseado em dados altamente heterogeneos e não estruturados
9667164483654630.0;Luis Americo Conti;2020;Atual;Efeitos crônicos do derramamento de óleo sobre os ecossistemas costeiros (recifes, estuários e prados de angiospermas marinhas) do litoral de Pernambuco?
9667164483654630.0;Aaron Lim;2020;Atual;Novel mapping of the shallow water INFOMAR data set: towards Irelands first shallow water atlas
