lattes id;coordenador;ano inicio;ano fim;titulo;type
4328171670881440;Noélle de Oliveira Freitas;2019.0;Atual;Aspectos psicossociais, emocionais e qualidade de vida de pessoas com deformidades cutâneas;VR
2658215800224401;Walderi Monteiro da Silva Júnior;2016.0;2017;INFLUÊNCIA DA PRÁTICA REGULAR DE ATIVIDADE FÍSICA SOBRE O NÍVEL DE QUALIDADE DE VIDA E AS RESPOSTAS DE VARIABILIDADE DA FREQUÊNCIA  CARDÍACA,  FREQUÊNCIA  CARDÍACA  E  PRESSÃO  ARTERIAL EM IDOSOS HIPERTENSOS EM UM TESTE ISOMÉTRICO INCREMENTA;VR
5777705137810019;Ildeberto Aparecido Rodello;2008.0;2014;CreaTiVE: A Toolkit for the design of Multimedia and Collaborative Virtual Environments for education;VR
5071249934882990;Luiz Velho;2018.0;Atual;VR Tour;VR
2927011145636179;Francisco dos Santos Rebelo;2009.0;2013;PTDC/PSI-PCO/100148/2008 - Avisos de segurança do futuro: Realidade Virtual no estudo de avisos de base tecnológica;VR
2927011145636179;Francisco dos Santos Rebelo;2007.0;2011;PTDC/PSI/69462/2006 - Usar a Realidade Virtual para Avaliar a Eficácia da Informação de Segurança;VR
4137162987559085;Carla Maria Dal Sasso Freitas;2005.0;Atual;EDGE : Evaluation methods, Design Guidelines and Environments for Virtual Reality and Information Visualization Techniques;VR
4282224955491397;;2019.0;Atual;Strategies for sickness-free experiences in VR environments;VR
4175589263683027;Eloisa Tudella;2018.0;2022;Motor learning of dynamic balance control in children with and without Developmental Coordination Disorder in Brazil using active video games;VR
5458829100371043;Doris C C K  Kowaltowski;2020.0;Atual;User-Valued Innovations for Social Housing Upgrading through Trans-Atlantic Living Labs;VR
683836610965593;José Eduardo Pompeu;2014.0;Atual;Efeitos do videogame Kinect no controle postural, condicionamento físico, cognição e qualidade de vida de pacientes com doença de Parkinson;VR
