lattes id;coordenador;ano inicio;ano fim;titulo;tipo
1611789402968312;Marcia Pasin;2020;Atual;Estudo de Percepção: Avaliação de Técnicas para Mitigar a Cybersickness em Ambiente de Realidade Virtual;Realidade Virtual
1014904168887285;;2013;Atual;Ambientes de Realidade Virtual para o Ensino de Ciências;Realidade Virtual
3270615314717988;Ricardo Mendes Leal Neto;2012;2015;Visualização Científica em Materiais: uma proposta de apoio ao estudo de estruturas cristalinas e microestruturas;Realidade Virtual
1728783224542391;Irla Bocianoski Rebelo;1997;1998;Oscar Niemeyer Vida e Obra;Realidade Virtual
2603863331633089;Raul Antonino Feijoó;2011;Atual;(CNPq 57.3710/2008-2) Instituto Nacional de Ciência e Tecnologia em Medicina Assistida por Computação Científica (INCT-MACC);Realidade Virtual
302161120707813;Cristina Jasbinschek Haguenauer;2013;Atual;Linguagem, Interação, Comunicação e Aprendizagem em Ambientes Virtuais Imersivos;Realidade Virtual
5194203867111923;Mercedes Rocío Gonzales Márquez;2015;2017;Realidade Virtual Não-imersiva e suas aplicações;Realidade Virtual
8064558616443413;Eunice Pereira dos Santos Nunes;2005;2007;Usando técnicas de realidade aumentada no processo de inclusão digital de crianças hospitalizadas. Cadastrado na Propeq sob número 090/CAP/2005;Realidade Virtual
7546749502855942;Maicon Gouvea de Oliveira;2018;2022;Digitalização de processos de roadmapping;Realidade Virtual
6602607106117942;Marcelo Anderson Bracht;2022;2023;Realidade virtual no manejo da dor cervical crônica: estudo piloto.;Realidade Virtual
4852992975865513;Luciana Maria dos Reis;2015;2016;EFEITO DA TÉCNICA DE REABILITAÇÃO VIRTUAL NO EQUILÍBRIO E NA MARCHA DE PACIENTES PÓS-ACIDENTE VASCULAR ENCEFÁLICO;Realidade Virtual
4852992975865513;Adriana Teresa Silva;2012;2013;Aplicação da realidade virtual nas disfunções neuromotoras;Realidade Virtual
4186515742605446;Victor Hugo Costa de Albuquerque;2013;2017;Sistemas inteligentes aplicados na área biomédica;Realidade Virtual
6222978572011439;Arnaldo Aires Peixoto Junior;2017;2019;OSCE 3D: Uma proposta de ambiente virtual tridimensional para avaliação clínica estruturada;Realidade Virtual
116830050245232;Paulo Roberto Boa Sorte Silva;2022;Atual;Inteligência artificial e metaverso nas linguagens e na educação: lugares-comuns da era pós-digital (Fase 2 do projeto guarda-chuva do grupo de pesquisa TECLA);Realidade Virtual
9169095482512290;Marilia Miranda Forte Gomes;2021;Atual;USO DE REALIDADE VIRTUAL NO TRATAMENTO DE TRANSTORNOS MENTAIS PARA BENEFÍCIO DA POPULAÇÃO QUE FAZ USO DO SISTEMA ÚNICO DE SAÚDE;Realidade Virtual
2563935738990997;Camila Palhares Teixeira;2017;2019;USO DA REALIDADE VIRTUAL COMO FERRAMENTA TECNOLÓGICA PARA APOIO DE VISITANTES NO MONUMENTO NATURAL ESTADUAL GRUTA REI DO MATO;Realidade Virtual
7535348349141535;Rosa Maria Esteves Moreira da Costa;2010;Atual;INCT-MACC - Instituto Nacional de Ciência e Tecnologia - Medicina Assistida por Computação Científica / Agentes Inteligentes em Ambientes Virtuais 3D voltados para a Estimulação Cognitiva;Realidade Virtual
4465619366143200;Mylene Christine Queiroz de Farias;2019;Atual;Qualidade de Experiência em Vídeos Imersivos - Bolsa PQ;Realidade Virtual
48790978449306;Marcelo da Silva Hounsell;2011;2012;Metodologia para Software 3D Interativo;Realidade Virtual
48790978449306;Avanilde Kemczinski;2007;2009;Uso da tecnologia de realidade virtual para reabilitação motora;Realidade Virtual
9329438229733907;Manoel Ribeiro Filho;2010;2011;Laboratórios Virtuais de Bancadas Experimentais de Engenharia, dentro da linha 3)Produção de Conteúdos Educacionais e Materiais Didáticos.;Realidade Virtual
294302345865267;Anderson Maciel;2017;Atual;Comunicação Háptica para Interação Humano-Computador;Realidade Virtual
1168989222280325;Antônio Carlos de Abreu Mól;2021;Atual;Ensino e Divulgação de Ciências por meio da Realidade Virtual;Realidade Virtual
1168989222280325;SIQUEIRA, ANA PAULA LEGEY DE;2017;Atual;Promoção do Interesse pela ciência por meio do uso da realidade virtual na demonstração de um experimento científico;Realidade Virtual
1168989222280325;Ana Paula Legey de Siqueira;2016;Atual;Criação de vídeo 3D, holograma e jogo digital para apresentar a energia solar como fonte de geração de energia elétrica por meio de um espaço de ciência itinerante;Realidade Virtual
1168989222280325;Ana Paula Legey;2014;Atual;Produção de Vídeos e Jogos Didáticos por Meio de Novas Tecnologias Digitais para Ensino e Divulgação de Ciências: Fontes de Geração de Energia Elétrica;Realidade Virtual
8544922263187197;Cláudia M. L. Werner;2015;2019;Projeto SoftVisInt;Realidade Virtual
8343393957854863;Adriano Anunciação Oliveira;2022;Atual;Realidade Virtual no Apoio ao Ambiente Didático em Saúde;Realidade Virtual
2631933490596587;Antonia Arisdélia Fonseca Matias Aguiar Feitosa;2018;2019;ALFABETIZAÇÃO CIENTÍFICA E BIOTECNOLOGIA: O uso de Metamodelos de comunicação e de Realidade Virtual (RV) no ensino de Biologia;Realidade Virtual
8486882484125774;Paulo Victor Rodrigues de Carvalho;2021;Atual;Tecnologias Digitais para Ensino e Divulgação de Ciências: Energia Nuclear na Geração Elétrica;Realidade Virtual
9984314744370920;Laura de Sousa Gomes Veloso;2015;2016;EFEITOS DA GAMETERAPIA SOBRE O EQUILÍBRIO E A COGNIÇÃO DE PESSOAS IDOSAS;Realidade Virtual
7778828466828647;Enrique A L Droguett;2010;2013;Gestão dos Riscos na Engenharia Industrial do Setor de P&G - GRIPEG;Realidade Virtual
727171902745709;Christus Menezes;2010;2011;MUSEU VIRTUAL: construção de um espaço para arquivo, indexação e estudo da arte eletrônica;Realidade Virtual
3195170463502606;Veronica Teichrieb;2018;2019;HipnoVR: Efeitos da Hipnose em Realidade Virtual;Realidade Virtual
2278152516658626;Nelci Adriana Cicuto Ferreira Rocha;2012;2013;Impacto da realidade virtual sobre o desempenho motor e equilíbrio de uma criança com sequela de AVE;Realidade Virtual
1157828219684606;Rosaria Ono;2021;2023;Protocolo integrado para documentação HBIM (Heritage Building Information Modeling ) e desenvolvimento de um gêmeo digital para a gestão, conservação e divulgação do Museu Republicano;Realidade Virtual
2259041691301555;Isabela Gasparini;2004;2005;Identificação do Perfil Cognitivo Utilizando Ambientes Virtuais 3D (DAPE 089/04);Realidade Virtual
