lattes id;ano inicio;ano fim;afiliacao;assunto;titulo
7143571029793493;2018;2019;Instituto Federal de Sergipe, IFS, Brasil.;Realidade Aumentada;REALIDADE VIRTUAL E AUMENTADA: APOIO PARA A PRÁTICA CONTEXTUALIZADA E INTERDISCIPLINAR NA EDUCAÇÃO BÁSICA, TÉCNICA E TECNOLÓGICA
5515322256604194;2017;2021;Universidade Federal de Uberlândia, UFU, Brasil.;Realidade Aumentada;VISUALIZAÇÃO CARTOGRÁFICA TRIDIMENSIONAL EM TEMPO REAL APLICADA A NAVEGAÇÃO EM DISPOSITIVOS MÓVEIS
5752128941340564;2022;Atual;Universidade Luterana do Brasil, ULBRA, Brasil.;Realidade Aumentada;Literatura Infantojuvenil Digital: Imersividade e Poéticas da Ilusão
5752128941340564;2019;2022;Universidade Luterana do Brasil, ULBRA, Brasil.;Realidade Aumentada;Novos formatos da literatura infantojuvenil digital: Dos book apps aos livros de realidade aumentada
7887916265742855;2020;2021;Pontifícia Universidade Católica de Minas Gerais, PUC Minas, Brasil.;Realidade Aumentada;DESENVOLVIMENTO OBJETOS DE APRENDIZAGEM EM REALIDADE AUMENTADA PARA DISCIPLINAS DE ESTRUTRURAS DE CONCRETO DO CURSO DE ENGENHARIA CIVIL
7887916265742855;2018;2020;Pontifícia Universidade Católica de Minas Gerais, PUC Minas, Brasil.;Realidade Aumentada;DESENVOLVIMENTO OBJETOS DE APRENDIZAGEM EM REALIDADE AUMENTADA PARA DISCIPLINAS DE ESTRUTURAS DE CONCRETO DO CURSO DE ENGENHARIA CIVIL
3010497094377497;2020;2021;Universidade Estadual de Mato Grosso, UNEMAT, Brasil.;Realidade Aumentada;Evidences 3D
9405118016902400;2018;Atual;Universidade Federal de São Paulo, UNIFESP, Brasil.;Realidade Aumentada;As narrativas imersivas em contextos multiplataforma
5998752909180697;2017;2017;Instituto Federal de Educação, Ciência e Tecnologia do Amazonas, IFAM, Brasil.;Realidade Aumentada;Sistema de Controle de Ponto de Venda (PDV)
3122373875381348;2017;Atual;Instituto Federal Fluminense, IFF, Brasil.;Realidade Aumentada;Aplicações de Realidade Aumentada para alunos com baixa visão
4226175401428037;2017;2018;Universidade do Estado de Minas Gerais, UEMG, Brasil.;Realidade Aumentada;ANÁLISE E VISUALIZAÇÃO DE OBJETOS 3D UTILIZANDO VUFORIA
1934903225521860;2013;2016;Universidade Católica de Pernambuco, UNICAP, Brasil.;Realidade Aumentada;Estudo, Avaliação e Desenvolvimento de Técnicas para Processamento de Imagens e Realidade Aumentada
148962230603842;2021;2022;Universidade Federal da Fronteira Sul, UFFS, Brasil.;Realidade Aumentada;Léxico Lúdico: o uso de Realidade Aumentada para o ensino de léxico na aprendizagem de línguas
2087785677186785;2006;2007;Universidade Federal do Rio Grande do Norte, UFRN, Brasil.;Realidade Aumentada;Realidade Aumentada para Celular
4394162331037750;2014;2016;Pontifícia Universidade Católica do Rio de Janeiro, PUC-Rio, Brasil.;Realidade Aumentada;Interação Espacial e Ambientes Virtuais: Dispositivos, Métodos e Aplicações (Produtividade em Desenvolvimento Tecnológico e Extensão Inovadora)
4394162331037750;2011;2015;Conselho Nacional de Desenvolvimento Científico e Tecnológico, CNPq, Brasil.;Realidade Aumentada;Sistemas Integrados Multiprocessados para Suporte a Realidade Aumentada em Dispositivos Móveis - MRM
4394162331037750;2007;2010;Pontifícia Universidade Católica do Rio de Janeiro, PUC-Rio, Brasil.;Realidade Aumentada;Ambientes Virtuais Colaborativos Aplicados em Engenharia  (Ed. Universal CNPq)
1900481113982922;2019;2020;Universidade Federal de Sergipe, UFS, Brasil.;Realidade Aumentada;Desenvolvimento de Jogo Educacional com Realidade Aumentada para Auxílio no Processo Ensino-Aprendizagem de Química no Ensino Médio
1900481113982922;2018;2019;Universidade Federal de Sergipe, UFS, Brasil.;Realidade Aumentada;Desenvolvendo Jogos Educacionais com Realidade Aumentada (PIBIC/EM)
555490225765351;2015;2015;Instituto Federal de Educação Ciência e Tecnologia Sul-rio-grandense, IFSUL, Brasil.;Realidade Aumentada;CONSTRUÇÃO DE OBJETOS DE APRENDIZAGEM SEGUNDO AS PREMISSAS DO DESIGN INSTRUCIONAL, PARA UTILIZAÇÃO EM VÍDEO AULAS NA WEB TV
9202801399600456;2013;Atual;Universidade Federal do Paraná, UFPR, Brasil.;Realidade Aumentada;Realidade Aumentada como apoio em Pesquisas Populacionais
8795066026611788;2017;Atual;Universidade Federal de Minas Gerais, UFMG, Brasil.;Realidade Aumentada;PLAID-UNIVERCEMIG - Plataforma digital para treinamento de pessoal.
5034444360451621;2022;Atual;SENAI - Departamento Regional da Bahia, SENAI/DR/BA, Brasil.;Realidade Aumentada;INCITE Indústria 4.0 - Instituto de Ciência, Inovação e Tecnologia em Indústria 4.0 do Estado da Bahia
9756167788721062;2015;2016;Universidade Federal do Pará, UFPA, Brasil.;Realidade Aumentada;Interação por Voz em Ambientes de Realidade Aumentada Móvel.
9163421021115381;2016;2021;Universidade de São Paulo, USP, Brasil.;Realidade Aumentada;Realidade aumentada como mecanismo de humanização da assistência em saúde no HC Criança
4340581249924621;2023;Atual;Universidade Federal Rural do Rio de Janeiro, UFRRJ, Brasil.;Realidade Aumentada;Interações e aprendizagens em dispositivos móveis com toques em tela: perspectivas a partir da educação matemática
4313837720967509;2021;Atual;Universidade Tecnológica Federal do Paraná, UTFPR, Brasil.;Realidade Aumentada;Metodologias Diferenciadas No Ensino Utilizando Diferentes Tecnologias Da Comunicação E Da Informação
2029488267292298;2016;2017;Universidade Federal do Rio de Janeiro, UFRJ, Brasil.;Realidade Aumentada;Realidade Aumentada e Consumo: Análise Exploratória do Aplicativo Pokemon Go
