coordenador id;nome;afiliacao;ref id;ref nome;estado
6764226783548215;Cecília Félix Andrade Silva;Instituto Federal  Minas Gerais, IFMG, Brasil.;374012247711818;Cecilia Felix Andrade Silva;Minas Gerais
8158865847990189;Paulo Raimundo Pinto;Instituto Tecnológico Vale, ITV, Brasil.;374012247711818;Paulo Raimundo Pinto;Goiás
1722113830390578;Débora Aita Gasparetto;Universidade Federal de Santa Maria, UFSM, Brasil.;1722113830390578;Débora Aita Gasparetto;Rio Grande do Sul
7949216376138752;Fabio Britto de Carvalho Almeida;SENAI-CIMATEC, CIMATEC, Brasil.;7949216376138752;Fabio Britto de Carvalho Almeida;Bahia
4258800700795106;Ana Paula Piovesan Melchiori;Universidade Federal de Lavras, UFLA, Brasil.;3393043381118573;Ana Paula Piovesan Melchiori;Minas Gerais
9346178640224901;Luciene Cavalcanti Rodrigues;Instituto Federal de São Paulo, IFSP, Brasil.;9346178640224901;Luciene Cavalcanti Rodrigues;São Paulo
62949670854701136294967085470113;Luiz Cláudio Machado dos Santos;Universidade do Estado da Bahia, UNEB, Brasil.;6294967085470113;Luiz Cláudio Machado dos Santos;Bahia
1095395084173623;Fernando Firmino da Silva;Universidade Estadual da Paraíba, UEPB, Brasil.;1095395084173623;Fernando Firmino da Silva;Paraíba
9637121030877187;Cristiano André da Costa;Universidade do Vale do Rio dos Sinos, UNISINOS, Brasil.;3914159735707328;Cristiano André da Costa;Rio Grande do Sul
5021830666471504;Mayara Lustosa de Oliveira Barbosa;Instituto Federal de Brasília, IFB, Brasil.;5021830666471504;Mayara Lustosa de Oliveira Barbosa;Distrito Federal
9306302347633373;Emerson de Sousa Costa;Centro Federal de Educação Tecnológica de Minas Gerais, CEFET/MG, Brasil.;9306302347633373;Emerson de Sousa Costa;Minas Gerais
7286663892055106;Maria Aparecida Alves de Cerqueira Luz;Faculdade de Odontologia da Universidade de São Paulo, FOUSP, Brasil.;7286663892055106;Maria Aparecida Alves de Cerqueira Luz;São Paulo
9138713186222689;Diane Belusso;INSTITUTO FEDERAL DO PARANA, IFPR, Brasil.;9138713186222689;Diane Belusso;Paraná
0543232182796499;Sandro César Silveira Jucá;Instituto Federal do Ceará, IFCE, Brasil.;543232182796499;Sandro César Silveira Jucá;Ceará
4134919454057451;Fabiana Frata Furlan Peres;Universidade Estadual do Oeste do Paraná, UNIOESTE, Brasil.;4134919454057451;Fabiana Frata Furlan Peres;Paraná
8205501453013894;Marcos Wagner de Souza Ribeiro;Universidade Federal de Jataí, UFJ, Brasil.;987947348533817;Marcos Wagner de Souza Ribeiro;Goiás
4892345821929149;Patricia Kayser Vargas Mangan;Universidade La Salle - Canoas, UNILASALLE, Brasil.;4892345821929149;Patricia Kayser Vargas Mangan;Rio Grande do Sul
1292601001838768;Leiva Casemiro Oliveira;Universidade Federal Rural do Semi-Árido, UFERSA, Brasil.;1292601001838768;Leiva Casemiro Oliveira;Rio Grande do Norte
6864702691556027;Lúcio Paulo do Amaral Crivano Machado;Universidade do Estado do Rio de Janeiro, UERJ, Brasil.;6864702691556027;Lúcio Paulo do Amaral Crivano Machado;Rio de Janeiro
5206162448542942;Rosane Moreira Silva de Meirelles;Fundação Oswaldo Cruz, FIOCRUZ, Brasil.;6864702691556027;Rosane Meirelles;Ceará
3483462003007835;Rafael de Moura Speroni;Instituto Federal Catarinense, IF-Catarinense, Brasil.;3483462003007835;Rafael de Moura Speroni;Santa Catarina
0501764855693100;Sandra Dutra Piovesan;Universidade Federal do Pampa, UNIPAMPA, Brasil.;501764855693100;Sandra Dutra Piovesan;Rio Grande do Sul
4162291555771478;Marcelo Vera Cruz Diniz;Instituto Federal da Bahia, IFBA, Brasil.;4162291555771478;Marcelo Vera Cruz Diniz;Bahia
2646104845996419;Teófilo Augusto da Silva;Universidade Federal do Sul e Sudeste do Pará, UNIFESSPA, Brasil.;2646104845996419;Teófilo Augusto da Silva;Pará
0463363430536002;Davi Guimarães da Silva;Instituto Federal de Educação, Ciência e Tecnologia do Pará, IFPA, Brasil.;463363430536002;Davi Guimarães da Silva;Pará
4607042780750206;Aléxia Pádua Franco;Faculdade de Educação da Universidade Federal de Uberlândia, FACED UFU, Brasil.;4607042780750206;Aléxia Pádua Franco;Minas Gerais
7221692456270122;Isabel Cristina Siqueira da Silva;Fundação Universidade Federal de Ciências da Saúde de Porto Alegre, UFCSPA, Brasil.;7221692456270122;Isabel Cristina Siqueira da Silva;Rio Grande do Sul
6614550860293610;Guido Lemos de Souza Filho;Secretaria de Ciência e Tecnologia de João Pessoa, SECITEC, Brasil.;6614550860293610;Guido Lemos de Souza Filho;Paraíba
6965119196945931;Alessandro de Lima Bicho;Universidade Federal do Rio Grande, FURG, Brasil.;6965119196945931;Alessandro de Lima Bicho;Rio Grande do Sul
0956823002875182;Rodolfo Pinto da Luz;Centro Universitário Euro-Americano, UNIEURO, Brasil.;1728783224542391;Rodolfo Pinto da Luz;Distrito Federal
1049090105081864;Noêmia Lazzareschi;Pontifícia Universidade Católica de São Paulo, PUC/SP, Brasil.;1049090105081864;Noêmia Lazzareschi;São Paulo
4512074340599645;Umberto Celli Junior;Faculdade de Direito de Ribeirão Preto- USP, FDRP, Brasil.;4512074340599645;Umberto Celli Junior;Pernambuco
7269686606912444;Marcelo Duduchi Feitosa;Centro Estadual de Educação Tecnológica Paula Souza, CEETEPS, Brasil.;8463651002688096;Marcelo Duduchi Feitosa;São Paulo
4513485062469304;Rodrigo Flora Calili;PSR Consultoria, PSR, Brasil.;4513485062469304;Rodrigo Flora Calili;Goiás
2912504494560823;Sílvia Beatriz Beger Uchôa;Universidade Federal de Alagoas, UFAL, Brasil.;2912504494560823;Sílvia Beatriz Beger Uchôa;Alagoas
7647023564369066;Rogerio Antonio Casagrande;Universidade do Extremo Sul Catarinense, UNESC, Brasil.;7647023564369066;Rogerio Antonio Casagrande;Santa Catarina
2781747995973774;Diego Luis Kreutz;Universidade Federal do Amazonas, UFAM, Brasil.;2781747995973774;Diego Luis Kreutz;Amazonas
1246085373474860;Katyusco de Farias Santos;Instituto Federal de Educação, Ciência e Tecnologia da Paraíba - IFPB, IFPB, Brasil.;1246085373474860;Katyusco de Farias Santos;Paraíba
0658814862350187;Ricardo Ratner Rochman;Fundação Getulio Vargas - SP, FGV-SP, Brasil.;658814862350187;Ricardo Ratner Rochman;São Paulo
9038113331816861;Ewerton Rodrigues Andrade;Fundação Universidade Federal de Rondônia, UNIR, Brasil.;9038113331816861;Ewerton Rodrigues Andrade;Rondônia
0638632787682079;Paulo Caetano da Silva;Universidade Salvador, UNIFACS, Brasil.;638632787682079;Paulo Caetano da Silva;Bahia
8623512462352869;Antônio Marcos Alberti;Instituto Nacional de Telecomunicações, INATEL, Brasil.;8623512462352869;Antônio Marcos Alberti;Distrito Federal
1058846722790485;Cinthia Obladen de Almendra Freitas;Pontifícia Universidade Católica do Paraná, PUC/PR, Brasil.;1058846722790485;Cinthia Obladen de Almendra Freitas;Paraná
4664874328682497;Gesiane Silveira Pereira;Universidade Vila Velha, UVV, Brasil.;3755692723547807;Gesiane Silveira Pereira;Amapá
6392597835724138;Fabricia Carneiro Roos Frantz;Universidade Regional do Noroeste do Estado do Rio Grande do Sul, UNIJUI, Brasil.;3644027876437753;Fabricia Carneiro Roos Frantz;Rio Grande do Sul
6136685270563354;Moacir Godinho Filho;Universidade Federal de São Carlos, UFSCAR, Brasil.;9062191157466610;Moacir Godinho Filho;São Paulo
8576347873975306;Germano Bruno Afonso;Centro Universitário Internacional, UNINTER, Brasil.;8576347873975306;Germano Bruno Afonso;Distrito Federal
1280835655867163;Eduardo da Silva Lopes;Universidade Estadual do Centro-Oeste, UNICENTRO, Brasil.;1280835655867163;Eduardo da Silva Lopes;Paraná
7471848591836966;Alexandre Carvalho Silva;Instituto Federal Goiano - campus Morrinhos, IFGOIANO, Brasil.;7471848591836966;Alexandre Carvalho Silva;Goiás
9627705064505983;Leonardo César Carvalho;Universidade Federal de Alfenas, UNIFAL/MG, Brasil.;9627705064505983;Leonardo César Carvalho;Minas Gerais
1790662929908503;Luciene Chagas de Oliveira;Universidade de Uberaba, UNIUBE, Brasil.;1790662929908503;Luciene Chagas de Oliveira;Minas Gerais
1728783224542391;Irla Bocianoski Rebelo;Centro Universitário UNIEURO, UNIEURO, Brasil.;1728783224542391;Irla Bocianoski Rebelo;Distrito Federal
2980425786626151;Raul Antonino Feijóo;Laboratório Nacional de Computação Científica, LNCC, Brasil.;2603863331633089;Raul Antonino Feijoó;Rio de Janeiro
5194203867111923;Mercedes Rocío Gonzales Márquez;Universidade Estadual de Mato Grosso do Sul, UEMS, Brasil.;5194203867111923;Mercedes Rocío Gonzales Márquez;Mato Grosso
7546749502855942;Maicon Gouvea de Oliveira;Escola de Engenharia de São Carlos da Universidade de São Paulo, EESC-USP, Brasil.;7546749502855942;Maicon Gouvea de Oliveira;São Paulo
6222978572011439;Arnaldo Aires Peixoto Junior;Centro Universitário Christus, UNICHRISTUS, Brasil.;6222978572011439;Arnaldo Aires Peixoto Junior;Ceará
2563935738990997;Camila Palhares Teixeira;Universidade Estadual de Minas Gerais, UEMG, Brasil.;2563935738990997;Camila Palhares Teixeira;Minas Gerais
1168989222280325;Antônio Carlos de Abreu Mól;Centro Universitário Carioca, UNICARIOCA, Brasil.;1168989222280325;Antônio Carlos de Abreu Mól;Rio de Janeiro
2631933490596587;Antonia Arisdélia Fonseca Matias Aguiar Feitosa;Universidade Federal da Paraíba, UFPB, Brasil.;2631933490596587;Antonia Arisdélia Fonseca Matias Aguiar Feitosa;Paraíba
9984314744370920;Laura de Sousa Gomes Veloso;Faculdades de Enfermagem Nova Esperança, FACENE, Brasil.;9984314744370920;Laura de Sousa Gomes Veloso;Paraíba
0155109382883894;Elizeu Batista Borloti;Universidade Federal do Espírito Santo, UFES, Brasil.;1726041421275880;Elizeu Batista Borloti;Espírito Santo
1973691273575100;Andromeda Goretti de Menezes Campos;Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo, IFES, Brasil.;1973691273575100;Andromeda Goretti de Menezes Campos;Espírito Santo
7091513065379000;Renato da Veiga Guadagnin;Universidade Católica de Brasília, UCB/DF, Brasil.;9190489069187153;Renato Guadagnin;Distrito Federal
9190489069187153;Lourdes Mattos Brasil;Universidade de Brasília - Faculdade UnB-Gama, FGA, Brasil.;9190489069187153;Lourdes Mattos Brasil;Distrito Federal
1166337759206783;Denise Azevedo Duarte Guimarães;Universidade Tuiuti do Paraná, UTP, Brasil.;1166337759206783;Denise Azevedo Duarte Guimarães;Paraná
9998552952567661;Jairo Simao Santana Melo;Serviço Nacional de Aprendizagem Comercial - DF, SENAC/DF, Brasil.;9499042601643906;Jairo Simão Santana Melo;Distrito Federal
3010497094377497;Rafael Rieder;Universidade de Passo Fundo, UPF, Brasil.;3682660634268734;Rafael Rieder;Rio Grande do Sul
4760598240322592;João Vitor Gobis Verges;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul, IFRS, Brasil.;4760598240322592;João Vitor Gobis Verges;Rio Grande do Sul
2445144539614697;Arlinda Cantero Dorsa;Universidade Católica Dom Bosco, UCDB, Brasil.;2445144539614697;Arlinda Cantero Dorsa;Mato Grosso do Sul
4921640978892287;Maria Guiomar Carneiro Tommasiello;Universidade Metodista de Piracicaba, UNIMEP, Brasil.;4921640978892287;Maria Guiomar Carneiro Tommasiello;São Paulo
4922733960989917;Simone de Godoy Costa;Escola de Enfermagem de Ribeirão Preto da Universidade de São Paulo, EERP-USP, Brasil.;3321694448032184;Simone de Godoy;São Paulo
3895544925364119;Fabiana Caetano Martins Silva e Dutra;Universidade Federal do Triângulo Mineiro, UFTM, Brasil.;3895544925364119;Fabiana Caetano Martins Silva e Dutra;Minas Gerais
8302663661351693;Hugo Leonardo Pereira Rufino;Instituto Federal do Triângulo Mineiro, IFTM, Brasil.;6566105969072228;Hugo Leonardo Pereira Rufino;Minas Gerais
5813806316468531;Ester Liberato Pereira;Universidade Estadual de Montes Claros, UNIMONTES, Brasil.;5813806316468531;Ester Liberato Pereira;Minas Gerais
3564597309576489;Fernando Silva Parreiras;Universidade FUMEC, FUMEC, Brasil.;4835234239471713;Fernando Silva Parreiras;Minas Gerais
0556025239906941;Heleno Murilo Campeão Vale;Innolution - Sistemas de Informática Ltda, Innolution, Brasil.;556025239906941;Heleno Murilo Campeão Vale;Goiás
7511905330795162;Fernando Parra dos Anjos Lima;Instituto Federal de Educação Ciência e Tecnologia de Mato Grosso, IFMT, Brasil.;7511905330795162;Fernando Parra dos Anjos Lima;Mato Grosso
8243781392342839;Alcyr Alves de Oliveira;Universidade Federal de Ciências da Saúde de Porto Alegre, UFCSPA, Brasil.;8243781392342839;Alcyr Alves de Oliveira;Rio Grande do Sul
9924565440571557;Talita Dias da Silva;Universidade Cidade de São Paulo, UNICID, Brasil.;9924565440571557;Talita Dias da Silva;São Paulo
1517200038007947;Grace Kelly Melo de Almeida;CENTRO UNIVERSITÁRIO UNINASSAU ARACAJU, UNINASSAU, Brasil.;1517200038007947;Grace Kelly Melo de Almeida;Sergipe
6785174940359965;Cassio David Borralho Pinheiro;Universidade Federal do Oeste do Pará, UFOPA, Brasil.;3930579216565991;Cássio David Borralho Pinheiro;Pará
9688530845451866;José Guilherme de Oliveira Brockington;Núcleo de Pesquisa em Inovação Curricular, NUPIC, Brasil.;9688530845451866;José Guilherme de Oliveira Brockington;São Paulo
7429780004238103;Maria Claudia Ferrari de Castro;Centro Universitário da FEI (SBC), FEI, Brasil.;6186413528999908;Maria Claudia Ferrari de Castro;São Paulo
2277559773788201;Felipe Becker Nunes;Faculdade Antônio Meneghetti, AMF, Brasil.;2277559773788201;Felipe Becker Nunes;Rio Grande do Sul
3435434761711692;Wilma Costa Souza;Universidade Castelo Branco, UCB/RJ, Brasil.;3435434761711692;Wilma Costa Souza;Espírito Santo
7486340493431857;Elirez Bezerra da Silva;Universidade Santa Úrsula, USU, Brasil.;3435434761711692;Elirez Bezerra da Silva;Rio de Janeiro
1862848643087021;Jucimar Maia da Silva Junior;Universidade do Estado do Amazonas, UEA, Brasil.;1862848643087021;Jucimar Maia da Silva Junior;Amazonas
2872064505456567;Linnyer Beatrys Ruiz Aylon;Universidade Estadual de Maringá, UEM, Brasil.;7560936930373791;Linnyer Beatrys Ruiz;Paraná
5725021666916341;Francisco Milton Mendes Neto;Universidade Federal Rural do Semi Árido, UFERSA, Brasil.;5725021666916341;Francisco Milton Mendes Neto;Rio Grande do Norte
6259579330358182;Angelo Márcio Pinto Leite;Faculdades Federais Integradas de Diamantina, FAFEID, Brasil.;6259579330358182;Angelo Márcio Pinto Leite;Minas Gerais
6544336528038920;João Carlos de Souza Ribeiro;Universidade Federal do Acre, UFAC, Brasil.;6544336528038920;João Carlos de Souza Ribeiro;Acre
2813267867460570;Eliseth Ribeiro Leão de Andrade Silva;Instituto Israelita de Ensino e Pesquisa Albert Einstein, IIEPAE, Brasil.;2813267867460570;Eliseth Ribeiro Leão de Andrade Silva;São Paulo
5665487289891813;Mercia Lamenha Medeiros;Mestrado Profissional Ensino na Saúde, MPES, Brasil.;5665487289891813;Mercia Lamenha Medeiros;Bahia
8823110547147768;Delmar Broglio Carvalho;Universidade Estadual de Feira de Santana, UEFS, Brasil.;4096908597645510;Delmar Broglio Carvalho;Bahia
3810677691355742;Waleska Maria Almeida Barros;Centro universitário Osman Lins, UNIFACOL, Brasil.;5647294482493232;Waleska Maria Almeida Barros;São Paulo
0996510828258210;Anthony Ferreira La Marca;Universidade Federal de Mato Grosso, UFMT, Brasil.;996510828258210;Anthony Ferreira La Marca;Mato Grosso
4227034481540406;Yacy Ara Froner Gonçalves;Instituto do Patrimônio Histórico e Artístico Nacional - DF, IPHAN/DF, Brasil.;3684061144624450;Yacy Ara Froner Gonçalves;Distrito Federal
0184424645432858;Eduardo Aoun Tannuri;Escola Politécnica da Universidade de São Paulo, POLI/USP, Brasil.;184424645432858;Eduardo Aoun Tannuri;São Paulo
