;Universidade Federal Rural do Semi-Árido;Análise e Melhoramentos em Sistemas Fotovoltaicos;06/04/2023;Romênia Gurgel Vieira;Maria Izabel da Silva Guerra;Engenharias;Inteligência Artificial;Rio Grande do Norte
;Pontifícia Universidade Católica de Minas Gerais;Análise Estrutural e Dinâmica ;22/03/2023;Pedro Américo Almeida ;Jánes Landre Júnior;Engenharias;Inteligência Artificial;Minas Gerais
;Instituto Federal de Santa Catarina;Análise Inteligente de Dados;04/08/2022;Carlos Andres Ferrero;André Salvaro Furtado;Ciências Exatas e da Terra;Inteligência Artificial;Santa Catarina
;Hospital de Clínicas de Porto Alegre;Análises Econômicas em Saúde;13/04/2023;Carísi Anne Polanczyk;-;Ciências da Saúde;Inteligência Artificial;Rio Grande do Sul
;Departamento de Polícia Federal;Antropologia Forense e Identificação de Pessoas;14/03/2023;Melina Calmon Silva;Melina Calmon Silva;Ciências Biológicas;Inteligência Artificial;Distrito Federal
;Universidade Federal do Maranhão ;Aplicação da Algebra Matemática e Inteligência Artificial nas Engenharias-;11/05/2023;Jailson Calado da Silva;-;Ciências Exatas e da Terra;Inteligência Artificial;Maranhão
;Pontifícia Universidade Católica de São Paulo;Aplicações em Engenharia de Sistemas Ciber Físicos;26/03/2023;Roberta Vieira Raggi;Roberta Vieira Raggi;Engenharias;Inteligência Artificial;São Paulo
;Instituto Federal de São Paulo;Aplicações em Matemática e Computação;02/02/2023;Marlon da Silva;Marlon da Silva;Ciências Exatas e da Terra;Inteligência Artificial;São Paulo
;Empresa Brasileira de Pesquisa Agropecuária;Aplicações nanobiotecnológicas de biomoléculas;09/07/2022;Luciano Paulino da Silva;-;Ciências Biológicas;Inteligência Artificial;Distrito Federal
;Universidade Estadual de Campinas;Aprendizado de Máquina e Processamento da Informação;10/03/2023;Romis Ribeiro de Faissol Attux;Rafael Ferrari;Engenharias;Inteligência Artificial;São Paulo
;Universidade de São Paulo;Aprendizado de Máquina para Ciência de Dados;19/01/2023;André Carlos Ponce de Leon ;-;Ciências Exatas e da Terra;Inteligência Artificial;São Paulo
;Instituto Federal do Acre;Aquiri Data Lab;16/05/2023;Adolfo Henrique dos Santos ;Willian Ramon Barbosa Bessa;Ciências Exatas e da Terra;Inteligência Artificial;Acre
;Universidade Federal da Paraíba;ARIA;04/01/2023;Yuri de Almeida Malheiros Barbosa;Thaís Gaudencio do Rêgo;Ciências Exatas e da Terra;Inteligência Artificial;Paraíba
;Universidade do Estado da Bahia;Arquitetura de Computadores e Sistemas Operacionais - ACSO;13/06/2022;Marco Antonio Costa Simões;Marco Antonio Costa Simões;Ciências Exatas e da Terra;Inteligência Artificial;Bahia
;Universidade Federal de Roraima;ARQUITETURA, URBANISMO E PAISAGISMO SUSTENTÁVEIS DE ;11/01/2023;Graciete Guerra da Costa;-;Ciências Sociais Aplicadas;Inteligência Artificial;Roraima
;Universidade Estadual de Campinas;Automação e Controle de Processos Industriais e Agroindustriais;10/08/2022;Claudio Kiyoshi Umezu;Claudio Kiyoshi Umezu;Ciências Agrárias;Inteligência Artificial;São Paulo
;Universidade Federal do Maranhão ;Automação e Controle de Sistemas;24/04/2023;Joao Viana da Fonseca Neto;-;Engenharias;Inteligência Artificial;Maranhão
;Universidade Federal de Lavras;Automação e Inteligência Artificial;19/05/2023;Danton Diego Ferreira;Danton Diego Ferreira;Engenharias;Inteligência Artificial;Universidade Federal de Lavras
;Instituto Federal Goiano;Automação Inteligente de Processos Agroambientais e Biológicos (AIPAGRO) ;24/05/2023;Júlio César Ferreira;Júnio César de Lima;Ciências Exatas e da Terra;Inteligência Artificial;Goiás
;Instituto Federal Goiano;Automação Inteligente de Processos e Algoritmos;01/07/2022;Fernando Barbosa Matos;Marcel da Silva Melo;Ciências Exatas e da Terra;Inteligência Artificial;Goiás
;Instituto Federal de São Paulo;AUTOMSYSTEM;19/03/2023;Marcelo Saraiva Coelho;Marcelo Saraiva Coelho;Engenharias;Inteligência Artificial;São Paulo
;Universidade Brasil;AUXÍLIO AO DIAGNÓSTICO MÉDICO;16/02/2023;Daniel Souza Ferreira Magalhães;-;Engenharias;Inteligência Artificial;São Paulo
;Pontifícia Universidade Católica do Rio Grande do Sul;Avaliação em bem-estar e saúde mental;23/06/2022;Wagner de Lara Machado;-;Ciências Humanas;Inteligência Artificial;Rio Grande do Sul
;Universidade Estadual Paulista Júlio de Mesquita Filho;BAIA - Instalações, Ambiência e Bem-Estar Animal;20/03/2023;Danilo Florentino Pereira;Leda Gobbo de Freitas Bueno;Ciências Agrárias;Inteligência Artificial;São Paulo
;Universidade Federal de Lavras;BILbo - Behavioural Informatics Laboratory;25/08/2022;Eric Fernandes de Mello Araújo;-;Ciências Exatas e da Terra;Inteligência Artificial;Universidade Federal de Lavras
;Universidade Federal de Sergipe;BioChaves;07/04/2023;Jânio Coutinho Canuto;Jânio Coutinho Canuto;Engenharias;Inteligência Artificial;Sergipe
;Universidade Federal de São Paulo;Bioengenharia, Optica e Mecanica Ocular;22/02/2023;Vagner Rogério dos Santos;Vagner Rogério dos Santos;Ciências da Saúde;Inteligência Artificial;São Paulo
;Universidade Federal de Minas Gerais;Bioinformática e Biologia Computacional;10/10/2022;Raquel Cardoso de Melo Minardi;-;Ciências Exatas e da Terra;Inteligência Artificial;Minas Gerais
;Universidade de Mogi das Cruzes;Bioinformática e Ciências Ômicas;19/06/2022;Fabiano Bezerra Menegidio;-;Ciências Biológicas;Inteligência Artificial;São Paulo
;Universidade Federal do Piauí;Biologia celular, genômica funcional e histocompatibilidade ;16/06/2022;Adalberto Socorro da Silva;Adalberto Socorro da Silva;Ciências Biológicas;Inteligência Artificial;Piauí
;Fundação Oswaldo Cruz;BIOLOGIA DE TRIPANOSOMATÍDEOS;30/01/2023;André Luiz Rodrigues Roque;André Luiz Rodrigues Roque;Ciências Biológicas;Inteligência Artificial;Distrito Federal
;Fundação Oswaldo Cruz;Biologia estrutural e funcional em Biofármacos;11/04/2023;João Hermínio Martins da Silva;Carla Freire Celedonio Fernandes;Ciências Biológicas;Inteligência Artificial;Distrito Federal
;Centro Universitário do Estado do Pará;Biomateriais e Novas tecnologias;03/04/2023;Patricia de Almeida Rodrigues;Renata Antunes Esteves;Ciências da Saúde;Inteligência Artificial;Pará
;Universidade Federal Rural de Pernambuco;Biometria e Manejo Florestal;17/06/2022;José Antônio Aleixo da Silva;Rinaldo Luiz Caraciolo Ferreira;Ciências Agrárias;Inteligência Artificial;Pernambuco
;Universidade Federal de Santa Catarina;BIOPSYS;03/04/2023;Eugênio Simão;Eugênio Simão;Ciências Biológicas;Inteligência Artificial;Santa Catarina
;Universidade Federal do Oeste do Pará;Bioquímica, Química Sintética e Modelagem Molecular;23/01/2023;Paulo Sergio Taube Junior;-;Ciências Exatas e da Terra;Inteligência Artificial;Pará
