lattes id;coordenador;ano inicio;ano fim;titulo;Assunto
0539500854426508;;2022;Atual;Eficiência, Confiabilidade e Conectividade em Sistemas B5G: M-MIMO, XL-MIMO e RIS. Edital 09/2021 - PBA 2021 Fundação Araucária PR;5G
0539500854426508;;2022;Atual;Eficiência, Confiabilidade e Conectividade em Sistemas 5G e 6G: XL-MIMO, RIS, Cell-Free, Acesso Aleatório e Aprendizagem de Máquinas. Edital UNIVERSAL - MCTI/CNPq No. 18/2021 Faixa B: Grupos Consolidados;5G
0539500854426508;;2020;Atual;URLLC, MMTC AND MASSIVE MIMO FOR 5G;5G
0539500854426508;;2020;Atual;Otimização em Sistemas 5G: Conectividade e Eficiências Energética e Espectral;5G
0539500854426508;TAUFIK ABRÃO;2018;2021;Ultra-Confiabilidade e Elevada Escalabilidade em Comunicações sem Fio de Quinta-Geração;5G
0539500854426508;TAUFIK ABRÃO;2017;2021;Estruturas MIMO de Larga Escala, Radio Cognitivo e Comunicações Cooperativas - Edital MCTI/CNPQ No 01/2016 - Universal - Faixa C;5G
0539500854426508;TAUFIK ABRÃO;2016;2020;(EE-Re-Netw) -- Eficiência Energética e Confiabilidade em Sistemas de Comunicação de Quinta-Geração. CHAMADA PÚBLICA 03/2016 PBA-2016 ? PROGRAMA DE PESQUISA BÁSICA E APLICADA DA UEL (Acordo FA/UEL);5G
0539500854426508;Abrão, Taufik;2014;2020;MassiveMIMO - MIMO Denso para Sistemas de Comunicação sem Fio de Quinta Geração: Desafios e Oportunidades (Massive MIMO for 5G Wireless Systems: Challenges and Opportunities);5G
8269779905235226;;2018;2021;Gerenciamento de Recursos em Redes Celulares 4G e 5G;5G
7710354723027448;Esther Majerowicz Gouveia;2022;Atual;Open RAN: como a geopolítica e os interesses econômicos se manifestam tecnicamente;5G
7399179037419892;Yuri Carvalho Barbosa Silva;2020;2021;PIBIC 2020/2021: Estudo do conceito de comunicações cell-free em sistemas 5G utilizando MIMO massivo;5G
7399179037419892;Yuri Carvalho Barbosa Silva;2019;2021;CNPq DT: Otimização de comunicações veiculares em sistemas MIMO de quinta geração;5G
7399179037419892;Yuri Carvalho Barbosa Silva;2019;2020;PIBIC 2019/2020: Estudo da aplicação de aprendizagem de máquinas a problemas distribuídos em sistemas de comunicações sem fio;5G
7399179037419892;Francisco Rodrigo Porto Cavalcanti;2018;2020;Projeto NAIVE: Network Assisted Intelligent Vehicle to Everything communications;5G
7399179037419892;André Lima Férrer de Almeida;2018;Atual;PROBRAL: Signal Processing for 5G Wireless Communications using Massive MIMO Systems;5G
7399179037419892;Yuri Carvalho Barbosa Silva;2017;2020;5G-RANGE - Remote area Access Network for 5th GEneration;5G
7399179037419892;Yuri Carvalho Barbosa Silva;2016;2019;CNPq DT: Alocação de recursos e gerência de interferência em redes celulares 5G;5G
7399179037419892;Francisco Rodrigo Porto Cavalcanti;2016;2018;Projeto TIDE5G: Evolução da Duplexação Dinâmica por Divisão Temporal para Sistemas 5G;5G
7399179037419892;Yuri Carvalho Barbosa Silva;2015;2016;PIBIC 2015/2016: Gerenciamento de Interferência em redes celulares 5G;5G
3061595319558530;;2018;2019;5GPDP: Plano de Dados Programável para redes 5G;5G
3061595319558530;;2016;2018;5GMDO: Orquestração Multi-Domínio em Redes 5G;5G
8664169441117482;Kelvin Lopes Dias;2022;Atual;5G Open Labs Brasil;5G
8664169441117482;;2021;Atual;Orquestração e Alocação de Recursos em Arcabouço MEC-NFV para Redes 5G (Bolsa de Produtividade em Pesquisa - PQ-2);5G
8664169441117482;Kelvin Lopes Dias;2019;Atual;Research and Development on 5G Open-Source Testbeds;5G
8664169441117482;Kelvin Lopes Dias;2018;2021;Tecnologias-Chave para as Redes sem Fio do Futuro;5G
1791514358821528;Trigueros, Daniela E.G.;2017;2019;AVALIAÇÃO ESTATÍSTICA DE PROPRIEDADES MORFOLÓGICAS E DE TRANSPORTE EM MEMBRANAS POLIMÉRICAS;5G
8587567074814594;Maria Valeria Marquezini;2022;Atual;SMART NEtworks and ServiceS for 2030 (SMARTNESS);5G
2055476391340850;Tarcisio Ferreira Maciel;2022;Atual;Alocação de Recursos de Rádio para Redes de Comunicações de Próxima Geração com Acesso e Backhaul Integrados;5G
2055476391340850;Tarcisio Ferreira Maciel;2019;2021;Alocação de Recursos de Rádio para Redes de Comunicações de 5a Geração usando Técnicas Convencionais e de Aprendizagem por Reforço;5G
2055476391340850;André Lima Férrer de Almeida;2018;Atual;Signal Processing for 5G Wireless Communications Using Massive MIMO Systems;5G
2055476391340850;Tarcisio Ferreira Maciel;2016;2019;Alocação de Recursos de Rádio para Comunicações Dispositivo a Dispositivo;5G
2055476391340850;Tarcisio Ferreira Maciel;2014;2015;Gerência de Recursos de Rádio para Sistemas de Comunicação de 5a Geração;5G
3672870581352292;Hugerles Sales Silva;2022;Atual;Plataforma de Desenvolvimento em Localização e Sensoriamento em Sistemas 6G;5G
3672870581352292;OLIVEIRA, ARNALDO S.R.;2020;2021;5GPERFECTA;5G
0507944343674734;Diego Lisboa Cardoso;2020;2022;HEURISTICAS, METAHERISTICAS E MODELOS DE OTIMIZAÇÃO PARA IMPLANTAÇÃO DE REDES 5G;5G
6825512654223870;;2018;2019;Comunicação 5G Ultra Confiável e de Baixa Latência para Automação Industrial;5G
6825512654223870;Richard Demo Souza;2016;2017;Compensação de célula em falha em redes 5G ultra densas - UK ACADEMIES - RESEARCH MOBILITY - Fundo Newton;5G
1596629769697284;Aldebaro Barreto da Rocha Klautau Júnior;2022;Atual;Inteligência Artificial para Otimização de Recursos de Redes de Próxima Geração em Cenários Estratégicos;5G
1596629769697284;Aldebaro Barreto da Rocha Klautau Júnior;2022;Atual;SAMURAI - Smart 5G Core And MUltiRAn Integration;5G
1596629769697284;;2022;Atual;UFA29-Automação Fim-a-Fim de Redes 6G via Inteligência Artificial, Gêmeos Digitais e Interfaces Padronizadas;5G
1596629769697284;Aldebaro Barreto da Rocha Klautau Júnior;2021;Atual;UFA26-Automação de Redes 6G Fim-a-Fim via Inteligência Artificial;5G
1596629769697284;Aldebaro Barreto da Rocha Klautau Júnior;2021;Atual;UFA27-Algoritmos Inteligentes e Distribuídos para Camada Física de Sistemas 6G;5G
1596629769697284;;2019;2021;UFA23-Técnicas de Sincronismo e Compressão para Sinais 5g e Técnicas de Múltiplas Antenas;5G
1596629769697284;;2019;2021;UFA22-Inteligência Artificial Conectada para Redes 5g com Aplicações de Visão Computacional;5G
1596629769697284;Aldebaro Barreto da Rocha Klautau Júnior;2018;2019;UFA19 - Algoritmos e Implementações em Hardware e Software para o Transporte em Fronthaul de Sinais 5G;5G
