lattes id;ano inicio;ano fim;estado;assunto;titulo
9844015070032232;2014;2016;São Paulo;Realidade Aumentada;X-factory - inovação em processos industriais versáteis com modelo de fábrica inteligente para inclusão produtiva e aumento de competitividade
8064558616443413;2005;2007;Mato Grosso;Realidade Aumentada;Usando técnicas de realidade aumentada no processo de inclusão digital de crianças hospitalizadas. Cadastrado na Propeq sob número 090/CAP/2005
4186515742605446;2013;2017;Ceará;Realidade Aumentada;Sistemas inteligentes aplicados na área biomédica
116830050245232;2022;Atual;Sergipe;Realidade Aumentada;Inteligência artificial e metaverso nas linguagens e na educação: lugares-comuns da era pós-digital (Fase 2 do projeto guarda-chuva do grupo de pesquisa TECLA)
116830050245232;2018;2021;Sergipe;Realidade Aumentada;Tecnologias em sala de aula: o pós-digital em questão (projeto guarda-chuva do grupo de pesquisa TECLA/UFS)
409865244128616;2011;2015;São Paulo;Realidade Aumentada;Rede Cooperativa de Pesquisa FINEP - TICHIS
4465619366143200;2019;Atual;Distrito Federal;Realidade Aumentada;Qualidade de Experiência em Vídeos Imersivos - Bolsa PQ
48790978449306;2011;2012;Santa Catarina;Realidade Aumentada;Metodologia para Software 3D Interativo
4611623889620565;2016;2018;Pernambuco;Realidade Aumentada;Desenvolvimento e aplicação de e-books interativos
2413369452452350;2022;Atual;Pará;Realidade Aumentada;DESENVOLVIMENTO DE UM APLICATIVO COM REALIDADE AUMENTADA PARA AUXÍLIO NO ENSINO DO CICLO DE REPRODUÇÃO DO MOSQUITO Aedes aegypti.
1584574231456379;2022;Atual;Rio Grande do Sul;Realidade Aumentada;Tecnoexperiências em realidade virtual e aumentada: uma visão sob a perspectiva da comunicação publicitária
2259041691301555;2007;2010;Santa Catarina;Realidade Aumentada;Uso da tecnologia de realidade virtual para reabilitação motora (DPPG 2023/2007)
7229833456758124;2014;Atual;Rio Grande do Sul;Realidade Aumentada;Modela Pelotas IV
6495915655298176;2018;2018;Santa Catarina;Realidade Aumentada;Desenvolvimento de livro educativo digital interativo utilizando recursos de realidade aumentada
6817254319412151;2012;2017;São Paulo;Realidade Aumentada;Cidade Aumentada: expandindo e estendendo as camadas informacionais urbanas no espaço e no tempo por meio da realidade mista
6919473605146182;2019;Atual;Rio Grande do Sul;Realidade Aumentada;Digitalização 3D associada a Realidade Virtual e Aumentada para a Preservação do Patrimônio Cultural
6919473605146182;2018;Atual;Rio Grande do Sul;Realidade Aumentada;Uso de Realidade Virtual e Realidade Aumentada como facilitadores da aprendizagem de conteúdos das disciplinas de desenho técnico
2746290295878975;2020;2021;São Paulo;Realidade Aumentada;O uso de recursos visuais na educação matemática: uma proposta de material didático bilíngue (libras/português)
8362852284802251;2004;2005;Minas Gerais;Realidade Aumentada;Avaliação de Interfase de Sistema de Realidade Aumentada
2343273642042806;2011;2014;São Paulo;Realidade Aumentada;Realidade Aumentada no suporte à avaliação pós-ocupação
3381049256541106;2012;2016;Santa Catarina;Realidade Aumentada;Avaliação da interação usuário-produto nas fases iniciais do projeto com o auxilio da prototipagem rápida por impressão 3D e da realidade aumentada
3381049256541106;2009;2012;Santa Catarina;Realidade Aumentada;Avaliação da usabilidade de produtos eletroeletrônicos com o auxílio de Realidade Virtual e Realidade Aumentada
2125238602476950;2019;2020;Rio de Janeiro;Realidade Aumentada;Energia limpas apresentadas por Realidade Aumentada
2125238602476950;2017;Atual;Rio de Janeiro;Realidade Aumentada;O uso da Realidade Aumentada como tecnologia educacional para promover e incentivar o aprendizado para alunos dentro e/ou fora de sala de aula
