lattes id;coordenador;ano inicio;ano fim;titulo;Assunto
3196052576107598;BIANCHI, ANDREA G. C.;2019;2020;Estudo e desenvolvimento de um arcabouço para teleoperação avançada de equipamentos de mineração: Monitoramento de Correias Transportadoras - FASE II;Realidade Aumentada
3196052576107598;Saul Emanuel Delabrida Silva;2019;Atual;XR4Good - Realidade Estendida para o bem;Realidade Aumentada
6817254319412151;Polise Moreira De Marchi;2012;2017;Cidade Aumentada: expandindo e estendendo as camadas informacionais urbanas no espaço e no tempo por meio da realidade mista;Realidade Aumentada
6919473605146182;Fabio Pinto da Silva;2019;Atual;Digitalização 3D associada a Realidade Virtual e Aumentada para a Preservação do Patrimônio Cultural;Realidade Aumentada
6919473605146182;Mariana Pohlmann de Oliveira;2018;Atual;Uso de Realidade Virtual e Realidade Aumentada como facilitadores da aprendizagem de conteúdos das disciplinas de desenho técnico;Realidade Aumentada
2746290295878975;Kate Mamhy Oliveira;2020;2021;O uso de recursos visuais na educação matemática: uma proposta de material didático bilíngue (libras/português);Realidade Aumentada
8362852284802251;Tânia Rossi Garbin;2004;2005;Avaliação de Interfase de Sistema de Realidade Aumentada;Realidade Aumentada
2343273642042806;Márcia Regina de Freitas;2011;2014;Realidade Aumentada no suporte à avaliação pós-ocupação;Realidade Aumentada
1572779834379796;Eliane Schlemmer;2017;2020;A CIDADE COMO ESPAÇO DE APRENDIZAGEM: Educação para a cidadania em contextos híbridos, multimodais, pervasivos e ubíquos;Realidade Aumentada
3381049256541106;Marcelo Gitirana Gomes Ferreira;2012;2016;Avaliação da interação usuário-produto nas fases iniciais do projeto com o auxilio da prototipagem rápida por impressão 3D e da realidade aumentada;Realidade Aumentada
2125238602476950;Simone Keller Füchter;2019;2020;Energia limpas apresentadas por Realidade Aumentada;Realidade Aumentada
1744732999336375;Windson Viana de Carvalho;2016;2018;Oficinas de Animação e Jogos Locativos como Fator de Ambientação e Integração entre os Cursos de Graduação em Design, Cinema, Computação e Sistemas e Mídias Digitais da UFC;Realidade Aumentada
0453892715674953;Flávio de Barros Vidal;2009;2010;Realidade Aumentada aplicada a Métodos de Controle Servovisual para Manipuladores Robóticos;Realidade Aumentada
8243001226255815;Pablo Alexandre Gobira de Souza Ricardo;2019;2021;Novas realidades: interfaces artísticas e construção de realidades;Realidade Aumentada
9999217523842385;Eliane Pozzebon;2023;Atual;Modelos de realidade mista baseado em volumes tridimensionais  de acervo DICOM agregando conceitos patologicos para aplicações no ensino da medicina;Realidade Aumentada
