Grupo de Inteligência Computacional Aplicada;IFMG;Silvia Grasiella Moreira Almeida;Engenharia Elétrica;Realidade Virtual
Grupo de Interfaces e Visualização;UNESP;Jose Remo Ferreira Brega;Ciência da Computação;Realidade Virtual
Grupo de Manufatura Avançada;UFAM;Jaime Casanova Soeiro Junior;Engenharia Mecânica;Realidade Virtual
Grupo de Neurofísica;UNICAMP;Gabriela Castellano;Física;Realidade Virtual
GRUPO DE PESQUISA COGITARE: Estudos em Formação, Política e Trabalho Humano;UFRJ;Gustavo de Oliveira Figueiredo;Educação;Realidade Virtual
GRUPO DE PESQUISA DE INOVAÇÃO TECNOLÓGICA EM AVALIAÇÃO E REABILITAÇÃO NEUROPSICOLÓGICA E MOTORA;UESC;Paulo Cesar Ribeiro Barbosa;Psicologia;Realidade Virtual
Grupo de Pesquisa em Engenharia de Software Aplicada;IFPB;Heremita Brasileiro Lira;Ciência da Computação;Realidade Virtual
Grupo de pesquisa em exercício físico e saúde mental;UFSM;Felipe Barreto Schuch;Educação Física;Realidade Virtual
Grupo de pesquisa em exercício físico e saúde mental;UFSM;Felipe Barreto Schuch;Educação Física;Realidade Virtual
Grupo de Pesquisa em Fisioterapia na Saúde do Idoso (GRUPEFISI);USP;José Eduardo Pompeu;Fisioterapia e Terapia Ocupacional;Realidade Virtual
Grupo de Pesquisa em Informática na Educação - GPIE;UDESC;Isabela Gasparini;Ciência da Computação;Realidade Virtual
Grupo de Pesquisa em Inteligência Computacional Aplicada a Engenharia Elétrica (GICA-EE);UFPB;Juan Moises Mauricio Villanueva;Engenharia Elétrica;Realidade Virtual
Grupo de Pesquisa em Jornalismo e Mobilidade - MOBJOR;UEPB;Fernando Firmino da Silva;Comunicação;Realidade Virtual
Grupo de Pesquisa em Percepção Visual;UnB;Rui de Moraes Júnior;Psicologia;Realidade Virtual
Grupo de Pesquisa em Realidade Virtual e Aumentada de Goiás (GRVG);UFJ;Marcos Wagner de Souza Ribeiro;Ciência da Computação;Realidade Virtual
Grupo de Pesquisa em Realidade Virtual e Multimídia;UFPE;Judith Kelner;Ciência da Computação;Realidade Virtual
Grupo de Pesquisa em Tecnologias Disruptivas no Ensino de Ciências Biológicas do CAp-UERJ;UERJ;Waldiney Cavalcante de Mello;Biologia Geral;Realidade Virtual
Grupo de Pesquisa em Visão Computacional e Inteligência Artificial - GPeViCIA;IFSP;Renato Correia de Barros;Ciência da Computação;Realidade Virtual
Grupo de pesquisa em voz e acústica da fala (GP.Voz);UFMG;Ana Cristina Côrtes Gama;Fonoaudiologia;Realidade Virtual
Grupo de Pesquisa Pró-Parkinson;UFPE;Maria das Graças Wanderley de Sales Coriolano;Fisioterapia e Terapia Ocupacional;Realidade Virtual
Grupo de Pesquisas em Cirurgia Robótica;UFSC;Daniel Martins;Engenharia Biomédica;Realidade Virtual
Grupo de Processamento de Imagens;UFC;Fátima Nelsizeuma Sombra de Medeiros;Engenharia Elétrica;Realidade Virtual
Grupo de Processamento Gráfico - GPG;UFRR;Luciano Ferreira Silva;Ciência da Computação;Realidade Virtual
Grupo de Realidade Virtual;PUCRS;Marcio Sarroglia Pinho;Ciência da Computação;Realidade Virtual
GRUPO DE TECNOLOGIA DE INFORMACAO APLICADA;UNESP;Eduardo Martins Morgado;Ciência da Computação;Realidade Virtual
Grupo de Tecnologia e Inovação - GTI UNIUBE;UNIUBE;Luciene Chagas de Oliveira;Ciência da Computação;Realidade Virtual
GTA - Tecnologias Aplicadas;IFES;Rodrigo Varejão Andreão;Engenharia Elétrica;Realidade Virtual
INCLUSÃO DIGITAL E INFORMÁTICA EDUCACIONAL;UNASP;Laercio Martins Carpes;Educação;Realidade Virtual
Indústria 4.0;UFOP;Bruno Nazário Coelho;Engenharia Elétrica;Realidade Virtual
INFOEDU - Grupo de Pesquisa em Informática Aplicada à Educação;IFSP;Eduardo Henrique Gomes;Ciência da Computação;Realidade Virtual
Inovação em Saúde IFRJ;IFRJ;Ana Carolina de Azevedo Carvalho;Saúde Coletiva;Realidade Virtual
Integração Digital para Manufatura Avançada;SENAI/DR/BA;Herman Augusto Lepikson;Engenharia de Produção;Realidade Virtual
Inteligência Artificial;UFPE;Teresa Bernarda Ludermir;Ciência da Computação;Realidade Virtual
InterLab - Laboratório de Tecnologias Interativas;USP;Romero Tori;Ciência da Computação;Realidade Virtual
InterVis - Grupo de Pesquisa em Tecnologias Interativas e Visão Computacional;UNOESTE;Robson Augusto Siscoutto;Ciência da Computação;Realidade Virtual
JEDI - Jogos e Entretenimento Digital Interativo;PUCRS;André Fagundes Pase;Comunicação;Realidade Virtual
