coordenador id;nome;afiliacao;ref id;ref nome
1101383196957378;Paulo Ditarso Maciel Júnior;Instituto Federal de Educação, Ciência e Tecnologia da Paraíba - IFPB, IFPB, Brasil.;1101383196957378;Paulo Ditarso Maciel Júnior
8709809037223235;Taufik Abrão;Universidade Estadual de Londrina, UEL, Brasil.;539500854426508;Abrão, Taufik
7710354723027448;Esther Majerowicz Gouveia;Universidade Federal do Rio Grande do Norte, UFRN, Brasil.;7710354723027448;Esther Majerowicz Gouveia
7399179037419892;Yuri Carvalho Barbosa Silva;Universidade Federal do Ceará, UFC, Brasil.;7399179037419892;Yuri Carvalho Barbosa Silva
5359073935110357;Francisco Rodrigo Porto Cavalcanti;Universidade Federal do Ceará, UFC, Brasil.;7399179037419892;Francisco Rodrigo Porto Cavalcanti
1183830514857314;André Lima Férrer de Almeida;Universidade Federal do Ceará, UFC, Brasil.;7399179037419892;André Lima Férrer de Almeida
8664169441117482;Kelvin Lopes Dias;Universidade Federal de Pernambuco, UFPE, Brasil.;8664169441117482;Kelvin Lopes Dias
5198880627063850;Daniela Estelita Goes Trigueros;Universidade Estadual do Oeste do Paraná, UNIOESTE, Brasil.;1791514358821528;Trigueros, Daniela E.G.
3358435384188023;Maria Valéria Marquezini;Universidade Paulista, UNIP, Brasil.;8587567074814594;Maria Valeria Marquezini
2055476391340850;Tarcisio Ferreira Maciel;Universidade Federal do Ceará, UFC, Brasil.;2055476391340850;Tarcisio Ferreira Maciel
3672870581352292;Hugerles Sales Silva;Universidade de Brasília, UnB, Brasil.;3672870581352292;Hugerles Sales Silva
507944343674734;Diego Lisboa Cardoso;Universidade Federal do Pará, UFPA, Brasil.;507944343674734;Diego Lisboa Cardoso
6825512654223870;Richard Demo Souza;Universidade Federal de Santa Catarina, UFSC, Brasil.;6825512654223870;Richard Demo Souza
1596629769697284;Aldebaro Barreto da Rocha Klautau Júnior;Universidade Federal do Pará, UFPA, Brasil.;1596629769697284;Aldebaro Barreto da Rocha Klautau Júnior
8758395845049687;Daniel Fernandes Macedo;Universidade Federal de Minas Gerais, UFMG, Brasil.;8758395845049687;Daniel Fernandes Macedo
2039871642254009;Zattar;Universidade Federal de Mato Grosso, UFMT, Brasil.;2039871642254009;Zattar
7955837132687218;Jose Marcos Silva Nogueira;Universidade Federal de Minas Gerais, UFMG, Brasil.;7955837132687218;Jose Marcos Silva Nogueira
4864692688677667;Ana Paula Salles Moura Fernandes;Universidade Federal de Minas Gerais, UFMG, Brasil.;5384555860195426;Ana Paula Salles Moura Fernandes
5041048659000127;Waslon Terllizzie Araújo Lopes;Universidade Federal da Paraíba, UFPB, Brasil.;1934903225521860;Waslon Terllizzie Araújo Lopes
9858319665065036;Juliano Araujo Wickboldt;Universidade Federal do Rio Grande do Sul, UFRGS, Brasil.;9858319665065036;Juliano Araujo Wickboldt
1467664612924239;Augusto José Venâncio Neto;Universidade Federal do Rio Grande do Norte, UFRN, Brasil.;2426252396325481;Augusto José Venâncio Neto
5464351563900900;Elias Procópio Duarte Júnior;Universidade Federal do Paraná, UFPR, Brasil.;8204869834246714;Elias P. Duarte Jr.
3342039322796173;Thamyris da Silva Evangelista;Universidade Federal do Sul e Sudeste do Pará, UNIFESSPA, Brasil.;3342039322796173;Thamyris da Silva Evangelista
2787725227134746;Marcelo Gonçalves Rubinstein;Universidade do Estado do Rio de Janeiro, UERJ, Brasil.;2787725227134746;Marcelo Gonçalves Rubinstein
1426401706315442;Otto Carlos Muniz Bandeira Duarte;Universidade Federal do Rio de Janeiro, UFRJ, Brasil.;2787725227134746;Otto Carlos Muniz Bandeira Duarte
51460077973814;Yona Lopes;Universidade Federal Fluminense, UFF, Brasil.;4205779497458915;Yona Lopes
4983411711055340;Francisco Rafael Marques Lima;Universidade Federal do Ceará, UFC, Brasil.;4983411711055340;Francisco Rafael Marques Lima
4827519792214924;Moacyr Martucci Junior;Universidade de São Paulo, USP, Brasil.;4827519792214924;Moacyr Martucci Junior
1403715441701958;Alfredo Gomes Neto;Instituto Federal de Educação, Ciência e Tecnologia da Paraíba - IFPB, IFPB, Brasil.;1403715441701958;Alfredo Gomes Neto
